SITE_TYPE,SITECODE,NAME,VARIABLE,VALUE,LABEL,SCORE,DATA_SRCE
ASSI,ASSI228,Aghanloo Wood,Current agircultural emission density (kg NH3/ha/yr),12.5281390041784,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI171,Altikeeragh,Current agircultural emission density (kg NH3/ha/yr),5.14256779811059,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI059,Altmover Glen,Current agircultural emission density (kg NH3/ha/yr),10.8773952152759,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI121,Annachullion Lough,Current agircultural emission density (kg NH3/ha/yr),9.40475524820417,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI038,Annacramph Meadows,Current agircultural emission density (kg NH3/ha/yr),38.3105676633638,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI308,Annaghagh Bog,Current agircultural emission density (kg NH3/ha/yr),44.5884155494905,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI149,Aughnadarragh Lough,Current agircultural emission density (kg NH3/ha/yr),12.2914997444878,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030318,Aughnadarragh Lough,Current agircultural emission density (kg NH3/ha/yr),12.2914997444878,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI150,Ballybannan,Current agircultural emission density (kg NH3/ha/yr),18.3800327315345,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI399,Ballygalley Head,Current agircultural emission density (kg NH3/ha/yr),1.82959305771247,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI153,Ballykilbeg,Current agircultural emission density (kg NH3/ha/yr),16.7102479851873,High agricultural emissions,3,Agricultural ammonia emissions
SAC,UK0030319,Ballykilbeg,Current agircultural emission density (kg NH3/ha/yr),16.7102479851873,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI194,Ballyknock,Current agircultural emission density (kg NH3/ha/yr),12.1624118426291,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI260,Ballymacaldrack,Current agircultural emission density (kg NH3/ha/yr),15.5388158269031,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI257,Ballymacallion,Current agircultural emission density (kg NH3/ha/yr),1.70537848494374,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI152,Ballynagross Lower,Current agircultural emission density (kg NH3/ha/yr),7.98765289861293,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI010,Ballynahone Bog,Current agircultural emission density (kg NH3/ha/yr),28.7616311640028,Very high agricultural emissions,4,Agricultural ammonia emissions
SAC,UK0016599,Ballynahone Bog,Current agircultural emission density (kg NH3/ha/yr),28.7616311640028,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI217,Ballynanaghten,Current agircultural emission density (kg NH3/ha/yr),26.3330287687236,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI087,Ballyquintin Point,Current agircultural emission density (kg NH3/ha/yr),3.22225250396661,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI266,Ballyrisk More,Current agircultural emission density (kg NH3/ha/yr),3.78486174474378,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI064,Banagher Glen,Current agircultural emission density (kg NH3/ha/yr),10.0219771711921,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030083,Banagher Glen,Current agircultural emission density (kg NH3/ha/yr),10.0219771711921,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI208,Bann Estuary,Current agircultural emission density (kg NH3/ha/yr),9.68164348597431,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030084,Bann Estuary,Current agircultural emission density (kg NH3/ha/yr),9.68164348597431,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI349,Baronscourt,Current agircultural emission density (kg NH3/ha/yr),11.0522273280822,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI016,Beagh Big,Current agircultural emission density (kg NH3/ha/yr),25.6523845831453,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI406,Belvoir,Current agircultural emission density (kg NH3/ha/yr),0.976645122303306,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI271,Big Dog Scarps and Lakes,Current agircultural emission density (kg NH3/ha/yr),2.34932300421255,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI212,Binevenagh,Current agircultural emission density (kg NH3/ha/yr),4.33544978388664,Low agricultural emissions,1,Agricultural ammonia emissions
SAC,UK0030089,Binevenagh,Current agircultural emission density (kg NH3/ha/yr),4.33548492272231,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI007,Black Bog,Current agircultural emission density (kg NH3/ha/yr),6.02188407052843,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0016609,Black Bog,Current agircultural emission density (kg NH3/ha/yr),6.02189194559679,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI239,Black Lough Tyrone,Current agircultural emission density (kg NH3/ha/yr),17.7629863035674,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI298,Blackslee,Current agircultural emission density (kg NH3/ha/yr),18.0631674654459,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI336,Blaeberry Island Bog,Current agircultural emission density (kg NH3/ha/yr),18.5045660827062,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI227,Bonds Glen,Current agircultural emission density (kg NH3/ha/yr),17.9414755775379,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI339,Brackagh Bog,Current agircultural emission density (kg NH3/ha/yr),17.5430353337771,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI161,Breen Wood,Current agircultural emission density (kg NH3/ha/yr),7.10148814714771,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030097,Breen Wood,Current agircultural emission density (kg NH3/ha/yr),7.10148822119729,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI081,Burdautien Lough,Current agircultural emission density (kg NH3/ha/yr),7.7386948677819,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI123,Caldanagh Bog,Current agircultural emission density (kg NH3/ha/yr),24.7768869188577,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI342,Caledon and Tynan,Current agircultural emission density (kg NH3/ha/yr),129.767537326975,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI302,Carey Valley,Current agircultural emission density (kg NH3/ha/yr),5.57202082869971,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI103,Carlingford Lough,Current agircultural emission density (kg NH3/ha/yr),8.99621430432968,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030110,Carn - Glenshane Pass,Current agircultural emission density (kg NH3/ha/yr),2.27437070920845,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI167,Carn/Glenshane Pass,Current agircultural emission density (kg NH3/ha/yr),2.27437297016607,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI215,Carrickastickan,Current agircultural emission density (kg NH3/ha/yr),7.17917162671985,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI156,Carrowcarlin,Current agircultural emission density (kg NH3/ha/yr),10.960528871344,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI189,Cashel Loughs,Current agircultural emission density (kg NH3/ha/yr),12.5648126694638,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI157,Castle Enigan,Current agircultural emission density (kg NH3/ha/yr),25.285123063274,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI259,Castle River Valley,Current agircultural emission density (kg NH3/ha/yr),5.65739739768268,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI350,Castlecoole,Current agircultural emission density (kg NH3/ha/yr),9.79468034667197,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI193,Castletown,Current agircultural emission density (kg NH3/ha/yr),9.4541593889974,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI398,Cavan,Current agircultural emission density (kg NH3/ha/yr),4.16735861361286,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI026,Cleggan Valley,Current agircultural emission density (kg NH3/ha/yr),15.6895983851928,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI409,Clermont & Anglesey Mountain,Current agircultural emission density (kg NH3/ha/yr),2.81011464193552,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI392,Cloghcor Lough,Current agircultural emission density (kg NH3/ha/yr),17.0069504738695,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI267,Coolnasillagh,Current agircultural emission density (kg NH3/ha/yr),5.46038027803746,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI345,Copeland Reservoir,Current agircultural emission density (kg NH3/ha/yr),10.0919370955459,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI155,Corbally,Current agircultural emission density (kg NH3/ha/yr),18.0350436138018,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI197,Corbylin Wood,Current agircultural emission density (kg NH3/ha/yr),12.9448295246647,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI048,Corraslough Point,Current agircultural emission density (kg NH3/ha/yr),8.99942587977695,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI164,Craigantlet Woods,Current agircultural emission density (kg NH3/ha/yr),9.37663376236875,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI372,Craigs,Current agircultural emission density (kg NH3/ha/yr),9.87554731449721,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI124,Cranny Bogs,Current agircultural emission density (kg NH3/ha/yr),17.3464872833651,High agricultural emissions,3,Agricultural ammonia emissions
SAC,UK0030321,Cranny Bogs,Current agircultural emission density (kg NH3/ha/yr),17.3464453137647,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI408,Cranny Falls,Current agircultural emission density (kg NH3/ha/yr),12.3851535539803,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI378,Croagh Bog,Current agircultural emission density (kg NH3/ha/yr),0.270999427046084,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI055,Crockaghole Wood,Current agircultural emission density (kg NH3/ha/yr),6.55478799552297,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI183,Crossbane Lough,Current agircultural emission density (kg NH3/ha/yr),12.3905724999953,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI263,Cruninish Island,Current agircultural emission density (kg NH3/ha/yr),2.57753035302801,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI069,Cuilcagh Mountain,Current agircultural emission density (kg NH3/ha/yr),2.03834626423669,Low agricultural emissions,1,Agricultural ammonia emissions
SAC,UK0016603,Cuilcagh Mountain,Current agircultural emission density (kg NH3/ha/yr),2.03834626423669,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI223,Cullentra Lough,Current agircultural emission density (kg NH3/ha/yr),16.9082865261989,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI074,Curran Bog,Current agircultural emission density (kg NH3/ha/yr),16.7258575678772,High agricultural emissions,3,Agricultural ammonia emissions
SAC,UK0030322,Curran Bog,Current agircultural emission density (kg NH3/ha/yr),16.7258575669841,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI125,Dead Island Bog,Current agircultural emission density (kg NH3/ha/yr),29.65057195333,Very high agricultural emissions,4,Agricultural ammonia emissions
SAC,UK0030323,Dead Island Bog,Current agircultural emission density (kg NH3/ha/yr),29.65057195333,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI035,Deroran Bog,Current agircultural emission density (kg NH3/ha/yr),13.7150468134257,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030324,Deroran Bog,Current agircultural emission density (kg NH3/ha/yr),13.7150468134257,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI237,Derrycloony Lough,Current agircultural emission density (kg NH3/ha/yr),35.7404814450554,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI079,Derryleckagh,Current agircultural emission density (kg NH3/ha/yr),19.4587360645802,High agricultural emissions,3,Agricultural ammonia emissions
SAC,UK0016620,Derryleckagh,Current agircultural emission density (kg NH3/ha/yr),19.4587360661529,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI221,Derryvore,Current agircultural emission density (kg NH3/ha/yr),16.2072528030413,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI269,Devenish Island,Current agircultural emission density (kg NH3/ha/yr),5.15041328629599,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI122,Drumacrittin Lough,Current agircultural emission density (kg NH3/ha/yr),11.1978600261991,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI322,Drumbegger,Current agircultural emission density (kg NH3/ha/yr),7.71381897699731,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI182,Drumcarn,Current agircultural emission density (kg NH3/ha/yr),7.36263779306424,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI240,Drumcrow,Current agircultural emission density (kg NH3/ha/yr),20.5738171055732,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI402,Drumcully,Current agircultural emission density (kg NH3/ha/yr),2.42467195933189,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI056,Drumlea and Mullan Woods,Current agircultural emission density (kg NH3/ha/yr),13.1320699555868,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI020,Drumlisaleen,Current agircultural emission density (kg NH3/ha/yr),2.96748886572574,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI205,Drumlougher Lough,Current agircultural emission density (kg NH3/ha/yr),16.2848369552194,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI401,Drumowen,Current agircultural emission density (kg NH3/ha/yr),4.43705740735545,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI274,Dunaree Hill,Current agircultural emission density (kg NH3/ha/yr),3.57306636065961,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI009,Dunloy Bog,Current agircultural emission density (kg NH3/ha/yr),17.6408228833198,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI095,Eastern Mournes,Current agircultural emission density (kg NH3/ha/yr),6.00211118552542,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0016615,Eastern Mournes,Current agircultural emission density (kg NH3/ha/yr),6.00211308816857,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI256,Errigal Glen,Current agircultural emission density (kg NH3/ha/yr),6.65913982246426,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI061,Ervey Wood,Current agircultural emission density (kg NH3/ha/yr),9.19356139755032,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI134,Essan Burn and Mullyfamore,Current agircultural emission density (kg NH3/ha/yr),4.01019229276337,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI330,Fair Head and Murlough Bay,Current agircultural emission density (kg NH3/ha/yr),3.19979906347647,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI008,Fairy Water Bogs,Current agircultural emission density (kg NH3/ha/yr),23.9084719192997,Very high agricultural emissions,4,Agricultural ammonia emissions
SAC,UK0016611,Fairy Water Bogs,Current agircultural emission density (kg NH3/ha/yr),23.9084719189299,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI238,Fathom Upper,Current agircultural emission density (kg NH3/ha/yr),7.37584380245194,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI110,Finn Floods,Current agircultural emission density (kg NH3/ha/yr),5.05909372222262,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI376,Florence Court,Current agircultural emission density (kg NH3/ha/yr),6.14130660702287,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI400,Frevagh,Current agircultural emission density (kg NH3/ha/yr),4.10491351526424,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI126,Frosses Bog,Current agircultural emission density (kg NH3/ha/yr),61.654877057659,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI224,Fymore Lough,Current agircultural emission density (kg NH3/ha/yr),35.6670485317044,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI333,Galboly,Current agircultural emission density (kg NH3/ha/yr),1.07537062728124,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI067,Garron Plateau,Current agircultural emission density (kg NH3/ha/yr),4.55571948387831,Low agricultural emissions,1,Agricultural ammonia emissions
SAC,UK0016606,Garron Plateau,Current agircultural emission density (kg NH3/ha/yr),4.55574341039222,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI004,Garry Bog,Current agircultural emission density (kg NH3/ha/yr),19.6481806618091,High agricultural emissions,3,Agricultural ammonia emissions
SAC,UK0016610,Garry Bog,Current agircultural emission density (kg NH3/ha/yr),19.4081776537075,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI127,Garry Bog Part II,Current agircultural emission density (kg NH3/ha/yr),16.94775008353,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI017,Garvros,Current agircultural emission density (kg NH3/ha/yr),6.02528502846994,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI202,Giant's Causeway and Dunseverick,Current agircultural emission density (kg NH3/ha/yr),7.83585882197501,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI024,Glen Burn,Current agircultural emission density (kg NH3/ha/yr),9.63744233684045,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI331,Glen East,Current agircultural emission density (kg NH3/ha/yr),2.7613884868805,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI025,Glenariff,Current agircultural emission density (kg NH3/ha/yr),15.3996504581899,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI355,Glenariff Glen,Current agircultural emission density (kg NH3/ha/yr),1.36238465311718,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI023,Glenarm Woods,Current agircultural emission density (kg NH3/ha/yr),14.1103895275945,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI057,Glenmore Wood,Current agircultural emission density (kg NH3/ha/yr),22.3532223444365,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI168,Glennasheevar,Current agircultural emission density (kg NH3/ha/yr),1.69792978831124,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI371,Gortcorbies,Current agircultural emission density (kg NH3/ha/yr),6.9355609116701,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI196,Grange Wood,Current agircultural emission density (kg NH3/ha/yr),20.6191378331193,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI160,Greenan,Current agircultural emission density (kg NH3/ha/yr),19.1113172046449,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI158,Greenan Lough,Current agircultural emission density (kg NH3/ha/yr),19.8807111562979,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI264,Hare Island,Current agircultural emission density (kg NH3/ha/yr),3.35286873854145,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI132,Heron and Carrigullian Loughs,Current agircultural emission density (kg NH3/ha/yr),7.60574093260108,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI211,Hollymount,Current agircultural emission density (kg NH3/ha/yr),8.37971090398896,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030169,Hollymount,Current agircultural emission density (kg NH3/ha/yr),8.37972054844581,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI054,Inishroosk,Current agircultural emission density (kg NH3/ha/yr),5.38844920453938,Moderate agricultural emissions,2,Agricultural ammonia emissions
